name,Redundant cast,Non-Serializable Field,Null Object Violation,Floating point numbers should not be tested for equality,Public methods should throw at most one checked exception,"A ""Set<Class>"" cannot contain a ""Class""",Non Static Final and Public,Long switch case,"Classes that override ""clone"" should be ""Cloneable"" and call ""super.clone()""",Rename variable,Abstraction Violation,"Loggers should be ""private static final"" and should share a naming convention",Performance Risk,Missing Switch Default,Unnecessary Local Before Return,Reuse Method Parameter,Style Violation,Complex Statement,Casting Issue,"""Thread.run()"" should not be called directly",Null Object Exception,Strings literals should be placed on the left side,"Loggers should be ""private static final"" ",Control flow statements should not be nested too deeply,Complex Expression,Do not throw RuntimeException,Magic Number,Non-Static Field,Privacy Concern,To Do,Non-Final Field,Obsolete Code,Rename method,Classes should not be compared by name,Move file
Scott Wegner,1,0,1,1,0,0,0,0,0,68,68,15,0,0,0,1,39,1,0,0,0,0,0,0,2,0,21,0,7,28,0,2,2,0,0
Maximilian Michels,11,20,21,3,31,2,32,16,1,1025,1385,75,1,6,46,34,842,40,22,0,1,41,2,50,11,64,478,4,226,656,7,64,22,5,76
Thomas Groh,2,2,13,1,2,0,2,0,0,270,296,15,1,0,6,8,190,18,0,0,0,0,0,11,3,4,105,2,34,147,0,14,4,0,0
Davor Bonaci,22,41,44,6,62,4,64,32,2,2085,2761,130,2,12,88,69,1565,80,42,0,2,88,4,100,18,128,947,8,441,1267,14,128,44,10,4
Luke Cwik,3,0,5,3,2,0,7,7,0,124,589,62,0,1,9,12,190,11,16,1,0,8,0,27,3,20,182,2,66,217,3,17,12,0,0
Dan Halperin,0,22,8,0,31,0,7,6,1,304,728,94,1,0,3,9,284,24,3,0,0,10,0,20,2,55,179,6,85,276,1,21,17,0,0
Jean-Baptiste Onofre,11,13,19,4,6,1,42,19,0,753,1480,77,0,2,33,34,706,34,26,1,1,34,1,67,9,61,512,5,225,577,9,65,24,4,4
Kenneth Knowles,2,11,11,0,8,0,8,3,1,501,568,89,0,0,6,14,285,15,8,0,0,12,0,31,1,33,184,1,176,363,4,15,11,0,4
Silviu Calinoiu,0,7,0,0,0,0,0,2,0,20,84,0,0,0,0,0,25,4,0,0,0,0,0,2,0,14,5,0,6,25,0,2,0,0,0
Ben Chambers,1,0,2,0,1,0,10,1,0,134,142,12,0,0,7,10,65,2,0,0,0,7,0,9,2,3,48,2,10,115,0,6,0,0,812
Aljoscha Krettek,11,19,22,3,31,2,32,16,1,1046,1395,68,1,6,44,42,795,41,21,0,1,44,2,50,10,64,473,4,220,632,7,64,22,7,0
Amit Sela,0,0,1,0,16,0,0,0,0,38,45,16,0,0,0,2,22,2,1,0,0,5,0,4,0,2,29,0,8,32,0,1,2,0,0
Robert Bradshaw,0,18,3,0,30,0,10,6,0,146,722,72,3,0,3,2,190,20,2,0,0,0,0,14,3,50,122,6,51,199,0,19,15,0,0
Charles Chen,0,19,3,0,30,0,10,5,0,166,663,76,2,0,2,2,174,18,0,0,0,0,0,5,3,50,98,6,45,183,0,18,15,0,0
Ahmet Altay,0,33,3,0,24,0,10,12,0,179,972,43,1,0,1,1,246,30,2,0,0,0,0,16,3,87,113,4,65,248,0,31,15,0,0
Isma√il Mejea,0,0,1,0,0,0,0,0,0,10,14,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,10,0,3,9,0,0,0,0,0
Chamikara Jayalath,0,6,1,0,12,0,6,3,0,52,261,30,0,0,0,0,67,7,0,0,0,0,0,2,1,18,41,3,17,75,0,7,6,0,0
