violation,name,violation_subtype,count
code_smells,Scott Wegner,Speculative Generality,0
code_smells,Maximilian Michels,Speculative Generality,5
code_smells,Thomas Groh,Speculative Generality,1
code_smells,Davor Bonaci,Speculative Generality,10
code_smells,Luke Cwik,Speculative Generality,2
code_smells,Dan Halperin,Speculative Generality,7
code_smells,Jean-Baptiste Onofre,Speculative Generality,6
code_smells,Kenneth Knowles,Speculative Generality,4
code_smells,Silviu Calinoiu,Speculative Generality,0
code_smells,Ben Chambers,Speculative Generality,2
code_smells,Aljoscha Krettek,Speculative Generality,5
code_smells,Amit Sela,Speculative Generality,0
code_smells,Robert Bradshaw,Speculative Generality,8
code_smells,Charles Chen,Speculative Generality,10
code_smells,Ahmet Altay,Speculative Generality,11
code_smells,Isma√il Mejea,Speculative Generality,0
code_smells,Chamikara Jayalath,Speculative Generality,4
code_smells,Scott Wegner,Code Duplication,10
code_smells,Maximilian Michels,Code Duplication,171
code_smells,Thomas Groh,Code Duplication,46
code_smells,Davor Bonaci,Code Duplication,326
code_smells,Luke Cwik,Code Duplication,40
code_smells,Dan Halperin,Code Duplication,85
code_smells,Jean-Baptiste Onofre,Code Duplication,113
code_smells,Kenneth Knowles,Code Duplication,115
code_smells,Silviu Calinoiu,Code Duplication,6
code_smells,Ben Chambers,Code Duplication,17
code_smells,Aljoscha Krettek,Code Duplication,169
code_smells,Amit Sela,Code Duplication,10
code_smells,Robert Bradshaw,Code Duplication,59
code_smells,Charles Chen,Code Duplication,54
code_smells,Ahmet Altay,Code Duplication,68
code_smells,Isma√il Mejea,Code Duplication,2
code_smells,Chamikara Jayalath,Code Duplication,22
code_smells,Scott Wegner,Lazy Class,3
code_smells,Maximilian Michels,Lazy Class,15
code_smells,Thomas Groh,Lazy Class,4
code_smells,Davor Bonaci,Lazy Class,28
code_smells,Luke Cwik,Lazy Class,5
code_smells,Dan Halperin,Lazy Class,6
code_smells,Jean-Baptiste Onofre,Lazy Class,14
code_smells,Kenneth Knowles,Lazy Class,4
code_smells,Silviu Calinoiu,Lazy Class,0
code_smells,Ben Chambers,Lazy Class,0
code_smells,Aljoscha Krettek,Lazy Class,25
code_smells,Amit Sela,Lazy Class,0
code_smells,Robert Bradshaw,Lazy Class,0
code_smells,Charles Chen,Lazy Class,1
code_smells,Ahmet Altay,Lazy Class,1
code_smells,Isma√il Mejea,Lazy Class,0
code_smells,Chamikara Jayalath,Lazy Class,0
code_smells,Scott Wegner,Refused Parent Bequest,0
code_smells,Maximilian Michels,Refused Parent Bequest,0
code_smells,Thomas Groh,Refused Parent Bequest,0
code_smells,Davor Bonaci,Refused Parent Bequest,0
code_smells,Luke Cwik,Refused Parent Bequest,0
code_smells,Dan Halperin,Refused Parent Bequest,1
code_smells,Jean-Baptiste Onofre,Refused Parent Bequest,1
code_smells,Kenneth Knowles,Refused Parent Bequest,0
code_smells,Silviu Calinoiu,Refused Parent Bequest,0
code_smells,Ben Chambers,Refused Parent Bequest,0
code_smells,Aljoscha Krettek,Refused Parent Bequest,0
code_smells,Amit Sela,Refused Parent Bequest,0
code_smells,Robert Bradshaw,Refused Parent Bequest,0
code_smells,Charles Chen,Refused Parent Bequest,0
code_smells,Ahmet Altay,Refused Parent Bequest,0
code_smells,Isma√il Mejea,Refused Parent Bequest,0
code_smells,Chamikara Jayalath,Refused Parent Bequest,0
code_smells,Scott Wegner,Long Parameter List,2
code_smells,Maximilian Michels,Long Parameter List,46
code_smells,Thomas Groh,Long Parameter List,11
code_smells,Davor Bonaci,Long Parameter List,92
code_smells,Luke Cwik,Long Parameter List,72
code_smells,Dan Halperin,Long Parameter List,4
code_smells,Jean-Baptiste Onofre,Long Parameter List,75
code_smells,Kenneth Knowles,Long Parameter List,66
code_smells,Silviu Calinoiu,Long Parameter List,0
code_smells,Ben Chambers,Long Parameter List,13
code_smells,Aljoscha Krettek,Long Parameter List,46
code_smells,Amit Sela,Long Parameter List,0
code_smells,Robert Bradshaw,Long Parameter List,0
code_smells,Charles Chen,Long Parameter List,3
code_smells,Ahmet Altay,Long Parameter List,0
code_smells,Isma√il Mejea,Long Parameter List,0
code_smells,Chamikara Jayalath,Long Parameter List,1
code_smells,Scott Wegner,Long Method,9
code_smells,Maximilian Michels,Long Method,231
code_smells,Thomas Groh,Long Method,89
code_smells,Davor Bonaci,Long Method,462
code_smells,Luke Cwik,Long Method,191
code_smells,Dan Halperin,Long Method,92
code_smells,Jean-Baptiste Onofre,Long Method,214
code_smells,Kenneth Knowles,Long Method,266
code_smells,Silviu Calinoiu,Long Method,14
code_smells,Ben Chambers,Long Method,91
code_smells,Aljoscha Krettek,Long Method,232
code_smells,Amit Sela,Long Method,27
code_smells,Robert Bradshaw,Long Method,69
code_smells,Charles Chen,Long Method,56
code_smells,Ahmet Altay,Long Method,94
code_smells,Isma√il Mejea,Long Method,2
code_smells,Chamikara Jayalath,Long Method,24
code_smells,Scott Wegner,Dead Code,32
code_smells,Maximilian Michels,Dead Code,160
code_smells,Thomas Groh,Dead Code,73
code_smells,Davor Bonaci,Dead Code,296
code_smells,Luke Cwik,Dead Code,63
code_smells,Dan Halperin,Dead Code,146
code_smells,Jean-Baptiste Onofre,Dead Code,149
code_smells,Kenneth Knowles,Dead Code,225
code_smells,Silviu Calinoiu,Dead Code,20
code_smells,Ben Chambers,Dead Code,95
code_smells,Aljoscha Krettek,Dead Code,165
code_smells,Amit Sela,Dead Code,15
code_smells,Robert Bradshaw,Dead Code,98
code_smells,Charles Chen,Dead Code,84
code_smells,Ahmet Altay,Dead Code,156
code_smells,Isma√il Mejea,Dead Code,3
code_smells,Chamikara Jayalath,Dead Code,32
code_smells,Scott Wegner,Complex Method,7
code_smells,Maximilian Michels,Complex Method,67
code_smells,Thomas Groh,Complex Method,32
code_smells,Davor Bonaci,Complex Method,128
code_smells,Luke Cwik,Complex Method,69
code_smells,Dan Halperin,Complex Method,42
code_smells,Jean-Baptiste Onofre,Complex Method,98
code_smells,Kenneth Knowles,Complex Method,62
code_smells,Silviu Calinoiu,Complex Method,0
code_smells,Ben Chambers,Complex Method,12
code_smells,Aljoscha Krettek,Complex Method,64
